class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
poisonous;13.0;flat;grooves;red;no;free;unknown;white;17.3;17.19;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;13.06;convex;grooves;red;no;free;unknown;white;16.9;17.38;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;17.23;convex;shiny;orange;no;free;unknown;white;17.63;17.92;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;14.39;convex;grooves;red;no;free;unknown;white;16.98;17.48;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;15.56;flat;grooves;orange;no;free;unknown;white;17.28;16.99;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;13.2;convex;grooves;orange;no;free;unknown;white;16.91;16.9;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;13.9;flat;shiny;red;no;free;unknown;white;17.81;17.77;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;16.38;flat;grooves;orange;no;free;unknown;white;18.36;17.99;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;13.3;convex;shiny;red;no;free;unknown;white;17.6;17.52;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;15.95;flat;grooves;orange;no;free;unknown;white;16.42;16.65;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.58;convex;grooves;orange;no;free;unknown;white;18.26;18.12;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;14.1;flat;grooves;orange;no;free;unknown;white;16.94;16.76;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;13.81;flat;shiny;orange;no;free;unknown;white;17.22;17.11;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;14.67;flat;shiny;orange;no;free;unknown;white;17.2;16.77;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;14.23;flat;shiny;red;no;free;unknown;white;17.22;17.23;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.78;flat;grooves;red;no;free;unknown;white;17.44;17.13;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.08;convex;grooves;red;no;free;unknown;white;17.09;17.8;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.0;convex;grooves;red;no;free;unknown;white;16.96;17.22;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;14.76;flat;grooves;orange;no;free;unknown;white;18.14;17.54;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;14.89;convex;grooves;red;no;free;unknown;white;17.78;18.07;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;13.05;flat;grooves;red;no;free;unknown;white;17.32;17.17;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;13.03;flat;shiny;red;no;free;unknown;white;17.05;17.07;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;14.07;flat;grooves;orange;no;free;unknown;white;16.98;17.76;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;15.09;flat;grooves;orange;no;free;unknown;white;17.45;18.15;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;12.22;flat;shiny;orange;no;free;unknown;white;18.19;17.62;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;15.12;convex;grooves;red;no;free;unknown;white;17.03;17.2;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;18.04;flat;grooves;red;no;free;unknown;white;18.86;19.79;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;12.27;flat;grooves;orange;no;free;unknown;white;16.15;17.17;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.03;flat;grooves;orange;no;free;unknown;white;19.34;19.37;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;16.51;convex;grooves;orange;no;free;unknown;white;18.38;18.29;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;14.96;flat;shiny;orange;no;free;unknown;white;18.26;18.28;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;15.9;flat;shiny;red;no;free;unknown;white;17.34;17.54;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;15.48;convex;grooves;red;no;free;unknown;white;19.22;18.14;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.63;flat;shiny;orange;no;free;unknown;white;17.72;16.82;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;14.8;convex;grooves;orange;no;free;unknown;white;17.94;17.42;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.0;convex;shiny;orange;no;free;unknown;white;17.67;17.96;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;15.07;flat;shiny;orange;no;free;unknown;white;16.97;17.51;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;13.12;convex;shiny;red;no;free;unknown;white;17.96;17.89;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.82;flat;shiny;orange;no;free;unknown;white;16.86;17.14;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;17.23;convex;shiny;red;no;free;unknown;white;18.51;18.59;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;12.57;convex;grooves;orange;no;free;unknown;white;16.62;15.7;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;14.85;convex;shiny;orange;no;free;unknown;white;17.36;16.46;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;12.55;convex;grooves;red;no;free;unknown;white;16.97;17.39;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;13.53;convex;grooves;red;no;free;unknown;white;16.65;16.91;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;16.84;convex;shiny;red;no;free;unknown;white;17.3;17.27;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;15.73;convex;shiny;orange;no;free;unknown;white;17.58;17.59;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;11.46;convex;shiny;orange;no;free;unknown;white;17.56;18.39;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;15.06;flat;grooves;orange;no;free;unknown;white;15.77;16.1;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;16.15;convex;shiny;red;no;free;unknown;white;18.25;17.67;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.78;flat;shiny;orange;no;free;unknown;white;17.18;17.6;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.77;flat;shiny;red;no;free;unknown;white;18.81;19.23;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;17.32;flat;grooves;orange;no;free;unknown;white;17.67;17.83;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;18.65;convex;shiny;red;no;free;unknown;white;18.6;19.03;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.11;flat;shiny;red;no;free;unknown;white;16.87;16.23;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;16.25;flat;grooves;orange;no;free;unknown;white;17.32;17.6;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;13.59;convex;grooves;orange;no;free;unknown;white;18.58;18.87;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;17.3;flat;grooves;orange;no;free;unknown;white;17.39;18.35;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;12.13;flat;grooves;red;no;free;unknown;white;16.66;16.62;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;12.29;convex;shiny;red;no;free;unknown;white;16.45;15.65;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;14.74;convex;shiny;orange;no;free;unknown;white;16.8;17.46;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;15.13;flat;shiny;red;no;free;unknown;white;17.81;17.24;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;13.66;flat;grooves;orange;no;free;unknown;white;16.21;16.65;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;13.3;convex;grooves;red;no;free;unknown;white;17.75;17.19;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;14.16;flat;grooves;orange;no;free;unknown;white;15.26;16.19;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.66;convex;shiny;orange;no;free;unknown;white;18.73;18.47;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;15.55;flat;grooves;red;no;free;unknown;white;17.03;17.84;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;14.28;flat;grooves;red;no;free;unknown;white;17.55;17.58;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;16.92;convex;grooves;red;no;free;unknown;white;18.3;18.81;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;15.55;convex;shiny;red;no;free;unknown;white;16.75;16.97;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;15.08;convex;shiny;orange;no;free;unknown;white;17.51;16.82;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;12.02;flat;grooves;orange;no;free;unknown;white;16.16;16.61;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.69;flat;grooves;red;no;free;unknown;white;16.58;15.84;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.36;flat;grooves;orange;no;free;unknown;white;17.53;15.97;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;15.22;flat;grooves;orange;no;free;unknown;white;16.87;17.46;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.49;flat;shiny;red;no;free;unknown;white;17.45;16.64;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;12.16;convex;shiny;red;no;free;unknown;white;17.46;17.51;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;16.04;flat;shiny;orange;no;free;unknown;white;17.39;17.19;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;16.31;flat;shiny;red;no;free;unknown;white;17.15;17.05;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;15.35;flat;grooves;orange;no;free;unknown;white;17.89;18.21;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;11.17;convex;shiny;orange;no;free;unknown;white;16.44;16.12;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;13.74;convex;grooves;red;no;free;unknown;white;16.7;15.79;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;14.62;flat;shiny;red;no;free;unknown;white;16.07;17.02;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.14;flat;shiny;orange;no;free;unknown;white;16.99;18.05;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;15.53;convex;grooves;orange;no;free;unknown;white;18.06;17.37;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;17.08;convex;shiny;orange;no;free;unknown;white;17.79;18.79;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;17.09;convex;grooves;orange;no;free;unknown;white;19.19;18.89;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.31;convex;grooves;orange;no;free;unknown;white;16.19;17.04;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;16.11;flat;shiny;red;no;free;unknown;white;17.91;17.88;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.96;convex;grooves;orange;no;free;unknown;white;17.92;17.51;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;16.12;convex;grooves;red;no;free;unknown;white;17.98;16.93;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.19;flat;grooves;orange;no;free;unknown;white;17.83;18.3;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;15.67;convex;grooves;orange;no;free;unknown;white;19.25;19.52;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;11.35;convex;shiny;red;no;free;unknown;white;16.96;15.39;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;14.52;convex;grooves;orange;no;free;unknown;white;17.04;17.57;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.41;flat;shiny;orange;no;free;unknown;white;17.1;16.96;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;16.3;flat;shiny;red;no;free;unknown;white;18.25;16.66;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;13.36;convex;grooves;orange;no;free;unknown;white;17.26;17.08;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.29;convex;shiny;orange;no;free;unknown;white;17.87;18.0;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;12.29;convex;grooves;orange;no;free;unknown;white;16.84;16.26;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;13.66;flat;shiny;orange;no;free;unknown;white;17.73;17.29;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;14.51;flat;shiny;red;no;free;unknown;white;16.7;15.98;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.55;flat;shiny;red;no;free;unknown;white;16.94;17.9;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;14.97;flat;grooves;red;no;free;unknown;white;18.45;17.51;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;13.06;convex;shiny;orange;no;free;unknown;white;15.72;16.19;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;12.85;convex;grooves;orange;no;free;unknown;white;17.35;16.64;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;14.0;flat;shiny;red;no;free;unknown;white;16.57;16.04;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;13.93;flat;shiny;red;no;free;unknown;white;16.65;16.86;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;17.91;flat;grooves;orange;no;free;unknown;white;17.63;18.15;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;14.43;flat;grooves;red;no;free;unknown;white;17.41;18.24;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;13.43;flat;grooves;red;no;free;unknown;white;16.13;16.25;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;13.04;flat;shiny;orange;no;free;unknown;white;17.99;17.49;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;17.1;convex;grooves;red;no;free;unknown;white;18.96;18.94;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;15.07;flat;shiny;red;no;free;unknown;white;18.33;18.88;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;15.03;flat;shiny;red;no;free;unknown;white;18.81;18.36;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;16.37;flat;shiny;red;no;free;unknown;white;17.96;18.69;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;11.02;flat;grooves;orange;no;free;unknown;white;15.98;16.02;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;17.61;flat;grooves;red;no;free;unknown;white;18.35;17.91;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;17.54;flat;shiny;orange;no;free;unknown;white;18.2;17.76;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.77;convex;shiny;orange;no;free;unknown;white;18.02;19.96;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;16.21;flat;shiny;orange;no;free;unknown;white;17.29;17.29;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;14.94;convex;grooves;red;no;free;unknown;white;17.5;18.26;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;14.74;flat;shiny;orange;no;free;unknown;white;18.42;18.5;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;15.97;convex;shiny;orange;no;free;unknown;white;16.42;16.89;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;13.56;convex;grooves;red;no;free;unknown;white;17.3;17.96;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;15.13;convex;shiny;red;no;free;unknown;white;18.75;18.33;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.42;flat;grooves;orange;no;free;unknown;white;18.34;18.24;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;13.49;convex;grooves;orange;no;free;unknown;white;17.6;17.44;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;15.71;flat;shiny;red;no;free;unknown;white;17.91;18.23;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;14.96;flat;grooves;red;no;free;unknown;white;17.96;17.37;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.34;flat;shiny;orange;no;free;unknown;white;17.74;18.62;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;12.26;convex;grooves;orange;no;free;unknown;white;18.14;17.58;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.46;flat;grooves;orange;no;free;unknown;white;16.92;15.3;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;16.59;flat;grooves;orange;no;free;unknown;white;18.93;18.51;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.98;convex;grooves;red;no;free;unknown;white;17.35;17.7;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.7;flat;shiny;red;no;free;unknown;white;17.04;17.74;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;14.92;convex;grooves;red;no;free;unknown;white;18.07;17.02;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;12.0;flat;grooves;red;no;free;unknown;white;15.9;16.23;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;14.75;flat;shiny;red;no;free;unknown;white;16.76;17.24;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.6;flat;grooves;red;no;free;unknown;white;18.46;18.38;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;11.77;convex;grooves;orange;no;free;unknown;white;16.96;15.57;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;16.37;flat;shiny;orange;no;free;unknown;white;18.21;18.8;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;13.89;flat;grooves;red;no;free;unknown;white;17.83;17.66;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;11.71;flat;shiny;red;no;free;unknown;white;16.47;16.1;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;15.5;flat;shiny;orange;no;free;unknown;white;17.92;18.09;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.93;convex;shiny;red;no;free;unknown;white;16.86;16.9;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;17.73;flat;shiny;red;no;free;unknown;white;19.19;18.16;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;17.23;flat;shiny;red;no;free;unknown;white;17.45;17.79;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;16.76;flat;grooves;orange;no;free;unknown;white;18.81;18.35;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;14.14;convex;grooves;orange;no;free;unknown;white;16.89;17.97;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;12.86;convex;grooves;orange;no;free;unknown;white;16.4;16.98;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;16.79;flat;grooves;orange;no;free;unknown;white;18.81;18.09;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;14.18;flat;shiny;red;no;free;unknown;white;17.87;18.2;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.56;convex;shiny;red;no;free;unknown;white;17.14;16.74;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;14.32;convex;grooves;red;no;free;unknown;white;16.45;15.77;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;13.64;convex;shiny;red;no;free;unknown;white;16.74;16.93;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;13.49;convex;shiny;orange;no;free;unknown;white;16.73;17.51;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;14.7;convex;grooves;red;no;free;unknown;white;16.84;16.67;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.33;flat;shiny;orange;no;free;unknown;white;19.25;18.76;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;12.87;flat;shiny;red;no;free;unknown;white;16.52;17.5;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;14.36;convex;shiny;red;no;free;unknown;white;17.87;17.87;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.39;flat;grooves;red;no;free;unknown;white;17.55;17.24;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;14.17;convex;shiny;red;no;free;unknown;white;17.47;17.07;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.4;flat;grooves;orange;no;free;unknown;white;17.92;17.83;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;12.31;flat;grooves;red;no;free;unknown;white;17.02;16.01;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;14.77;convex;shiny;red;no;free;unknown;white;16.61;17.06;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;15.02;flat;shiny;red;no;free;unknown;white;16.89;17.26;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;13.9;convex;shiny;orange;no;free;unknown;white;18.1;17.7;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;17.13;convex;shiny;red;no;free;unknown;white;16.46;16.83;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;13.68;flat;grooves;orange;no;free;unknown;white;18.22;17.47;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;15.0;convex;grooves;red;no;free;unknown;white;18.12;17.13;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;13.5;convex;shiny;red;no;free;unknown;white;15.51;15.17;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.94;convex;shiny;red;no;free;unknown;white;17.65;17.49;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.62;flat;grooves;red;no;free;unknown;white;17.41;17.65;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;13.76;flat;grooves;orange;no;free;unknown;white;17.89;17.87;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;16.71;convex;shiny;red;no;free;unknown;white;17.87;17.29;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;15.5;convex;grooves;red;no;free;unknown;white;17.83;18.79;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;14.77;convex;shiny;red;no;free;unknown;white;16.72;16.51;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;18.14;convex;grooves;orange;no;free;unknown;white;18.49;19.13;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.78;convex;shiny;orange;no;free;unknown;white;18.71;18.83;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;17.25;convex;grooves;orange;no;free;unknown;white;17.71;18.05;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
